"Country","extramarital-affairs","gambling","homosexuality","abortion","premarital-sex","alcohol-use","divorce","contraception-use"
"Argentina",72,49,27,56,22,42,17,6
"Australia",79,36,18,26,15,10,9,4
"Bolivia",84,61,51,83,53,69,49,19
"Brazil",84,64,39,79,35,47,24,8
"Britain",76,26,17,25,13,9,9,3
"Canada",76,23,15,26,15,9,9,4
"Chile",67,48,32,64,13,31,17,6
"China",74,55,61,37,58,41,25,13
"Czech Republic",66,65,14,18,10,22,11,2
"Egypt",93,91,95,62,90,75,7,7
"El Salvador",89,82,70,85,56,82,48,23
"France",47,13,14,14,6,18,5,4
"Germany",60,31,8,19,6,14,7,1
"Ghana",86,91,98,92,86,80,80,52
"Greece",79,52,45,54,11,23,19,14
"India",62,69,67,58,67,66,53,22
"Indonesia",93,88,93,89,97,85,57,10
"Israel",73,51,43,35,37,29,23,17
"Italy",64,33,19,41,11,27,18,6
"Japan",69,31,31,28,21,6,13,5
"Jordan",93,91,95,53,95,85,6,6
"Kenya",80,65,88,82,79,59,59,33
"Lebanon",92,77,80,56,81,51,9,13
"Malaysia",90,76,88,79,87,70,45,40
"Mexico",73,49,40,63,44,41,33,14
"Nigeria",77,77,85,80,77,68,61,54
"Pakistan",92,95,85,85,94,94,73,65
"Palestinian ter.",94,91,94,54,94,89,23,14
"Philippines",90,61,65,93,71,39,67,29
"Poland",71,33,44,47,22,17,22,17
"Russia",69,62,72,44,30,44,22,7
"South Africa",65,40,62,61,48,36,40,15
"South Korea",81,78,57,58,35,22,25,14
"Senegal",68,63,68,52,63,63,32,28
"Spain",64,28,6,26,8,22,4,2
"Tunisia",90,91,92,77,89,85,46,39
"Turkey",94,80,78,52,91,69,27,21
"United States",84,24,37,49,30,16,22,7
"Uganda",80,80,93,88,77,57,76,38
"Venezuela",76,59,49,77,21,39,24,5
